,youtube_id,comment,like_num,processed_comment
47,전채원,"이노래 추억..첫 짝사랑 하고 가사처럼 설레서 자주 듣던 노랜데..지금 걔랑 어떻게 됬는지 모르겠다..다른반되고 ㅋㅋ
저번 봄 정말 좋았다 친구 갈등도 많았지만",29개,"['이노', '추억', '첫', '짝사랑', '하다', '가사', '설레다', '자주', '듣다', '노래', '지금', '걔', '어떻다', '되다', '모르다', '반', '되다', '저번', '봄', '정말', '좋다', '친구', '갈등', '많다']"
48,team피크타임,"솔직히 아직도 들어도 좋아 ^^
ㅇㅈ 하면 좋아요 ㅋㅋ",3개,"['솔직하다', '들다', '좋다', '하다', '좋다']"
49,뀨,곧 들을 노래😊 벚꽃이나 보러갈수는 있을런지ㅠㅠ 코로나 다뒤져ㅠㅠ,101개,"['곧', '들다', '노래', '벚꽃', '보다', '갈수', '있을런', '코로나', '뒤지다']"
50,이다인,노래  좋아요  💗💗💗💗💗,1개,"['노래', '좋다']"
51,예진,자기 혼자만 봄이라는 뜻도 있고 상대방이 자기 자신만 보라는 의미도 있어서 참 슬프네요ㅠㅠ,22개,"['자기', '혼자', '봄', '뜻', '있다', '상대방', '자기', '자신', '보라', '의미', '있다', '차다', '슬프다']"
52,김가희,이노래는들어도들어도너무좋아요!,1개,"['노래', '들다', '들다', '좋다']"
53,아쿠Arium,"저는 가사 보면서 노래듣는게 좋아서 적었어요. 🌼노래 너무 좋다🌼
볼빨간사춘기 - 나만, 봄

안돼 그만둬 거기까지 해 
더 다가가면 너 정신 못 차려
안돼 그만해 꽃은 넣어둬 
그냥 좀 바람이 불게 놔줘
왜 그럴까 사람들은 
그냥 봄기운이 좋아 
눈치 없이 밖을 나가는 걸까
왜 이럴까 뭐가 설렌다고
 봄바람이 좋아
 내 맘도 모르고 더 불어와
flower sunshine 완벽한 하루를
 사실 너와 걸을 수 있다면 
얼마나 좋을까
좋아한다고 말하기가 무서워서
 네 곁을 맴돌고 있는 난
벚꽃도 뭐고 다 필요 없어 
나는 네 곁에 있고 싶어 딱 붙어서
봄이 지나갈 때까지
 다른 사람 다 사라져라 나만 봄
왜 그럴까 사람들은 
그냥 봄기운이 좋아 
눈치 없이 밖을 나가는 걸까
왜 이럴까 뭐가 설렌다고 
봄바람이 좋아 내 맘도 모르고
 더 불어와
flower sunshine 완벽한 하루를
 사실 너와 걸을 수 있다면 
얼마나 좋을까
좋아한다고 말하기가 무서워서
 네 곁을 맴돌고 있는 난
벚꽃도 뭐고 다 필요 없어
 나는 네 곁에 있고 싶어 딱 붙어서
봄이 지나갈 때까지 
다른 사람 다 사라져라
언제 봄이 왔는지 내 맘도 모르고
 봄바람이 자꾸만 불어와
네 곁에 딱 붙어서 
떨어지지 않고 싶어
 내 맘을 이제 말하고 싶어
벚꽃도 뭐고 다 필요 없어 
나는 네 곁에 있고 싶어 딱 붙어서
봄이 지나갈 때까지 
다른 사람 다 사라져라 나만 봄",160개,"['저', '가사', '보다', '노래', '듣다', '좋다', '적다', '노래', '좋다', '볼', '빨갛다', '사춘기', '나', '봄', '돼다', '그만두다', '거기', '해', '더', '다가가다', '너', '정신', '못', '차려', '돼다', '그만하다', '꽃', '넣다', '두다', '그냥', '좀', '바람', '불', '놓다', '왜', '그렇다', '사람', '그냥', '봄', '기운', '좋다', '눈치', '밖', '나가다', '걸다', '왜', '이렇다', '뭐', '설레다', '봄바람', '좋다', '내', '맘', '모르다', '더', '불어오다', '완벽하다', '하루', '사실', '너', '걸', '수', '있다', '얼마나', '좋다', '좋아하다', '말', '하다', '무섭다', '네', '곁', '맴돌다', '있다', '난', '벚꽃', '뭐', '필요', '없다', '나', '네', '곁', '있다', '싶다', '붙다', '봄', '지나가다', '때', '다른', '사람', '사라지다', '나', '봄', '왜', '그렇다', '사람', '그냥', '봄', '기운', '좋다', '눈치', '밖', '나가다', '걸다', '왜', '이렇다', '뭐', '설레다', '봄바람', '좋다', '내', '맘', '모르다', '더', '불어오다', '완벽하다', '하루', '사실', '너', '걸', '수', '있다', '얼마나', '좋다', '좋아하다', '말', '하다', '무섭다', '네', '곁', '맴돌다', '있다', '난', '벚꽃', '뭐', '필요', '없다', '나', '네', '곁', '있다', '싶다', '붙다', '봄', '지나가다', '때', '다른', '사람', '사라지다', '언제', '봄', '오다', '내', '맘', '모르다', '봄바람', '자꾸만', '불어오다', '네', '곁', '붙다', '떨어지다', '않다', '싶다', '내', '맘', '이제', '말', '싶다', '벚꽃', '뭐', '필요', '없다', '나', '네', '곁', '있다', '싶다', '붙다', '봄', '지나가다', '때', '다른', '사람', '사라지다', '나', '봄']"
54,튜바,화살 꽂을 때 표정 너무 귀엽다 ㅎㅎ,2개,"['화살', '꽂다', '때', '표정', '귀엽다']"
55,신윤경,노래가  너무좋아요,2개,"['노래', '좋다']"
56,김지은,진짜 음색 개사기...ㅠㅠ,163개,"['진짜', '음색', '개', '사기']"
57,김하윤,"와,,, 첨에는 나의 사춘기에게에 빠졌다가 다시 워커홀릭에 빠지고 또 여행 빠졌다가 여기로 왔네...진짜 빠져나갈수 없는 블랙홀이다...",1개,"['오다', '처음', '나', '사춘기', '빠지다', '다시', '워커홀릭', '빠지다', '또', '여행', '빠지다', '여기', '오다', '진짜', '빠져나가다', '없다', '블랙홀']"
58,꽃냥이,너무 좋네요. 듯기도 좋고  우리집 모란앵무도  따라부르고  잇내여  ㅋㅋ(신기)  아프로 많이틀어주서야 겟어요 구독누르고 갈게요,1개,"['좋다', '듯', '기도', '좋다', '우리', '집', '모란', '앵무', '따르다', '부르다', '잇다', '신기', '아프다', '틀어주다', '서다', '겟어', '구독', '누르다', '갈다']"
59,천유정,"펜이에요ㅠㅠ
이뻐요ㅠㅠ",1개,"['펜', '이쁘다']"
60,한승헌,"벚꽃엔딩, 봄이 좋냐를 잇는 봄 노래 등장이다..",190개,"['벚꽃', '엔딩', '봄', '좋다', '잇다', '봄', '노래', '등장']"
61,고재형,봄놀래들르면 기분이좋아!,1개,"['봄', '놀래다', '들르다', '기분', '좋다']"
62,박민성,하필 오늘이 1주년이구나...... 우지윤님 고마웠고 고생했어요 ㅜㅜ,5개,"['하필', '오늘이', '주년', '지윤', '고맙다', '고생', '하다']"
63,귀염둥이보라,이거너무노래좋아요!!!(♥,1개,"['거너', '물다', '좋다']"
64,다연,나나만봄23년부름하....근데왜안질리즤?💕,1개,"['나나', '봄', '왜', '안질리다']"
65,이병두,하지만 난 지금 이 시간에 깨어 있는 사람이 되고 싶습니다~ 아 진짜 너무 좋다^^,1개,"['난', '지금', '이', '시간', '깨다', '있다', '사람', '되다', '싶다', '진짜', '좋다']"
66,08나현,이 노래 나왔을 때 진짜 너무 선선하고 좋았다....,10개,"['이', '노래', '나오다', '때', '진짜', '선선', '좋다']"
67,빙어,썸 탈 때 듣던 노래였는데...,0개,"['썸', '탈', '때', '듣다', '노랗다']"
68,미역,와..이번 노래도 너무 좋다ㅠㅁㅠ 뭔가 이 노래 들으면 괜히 설레.. 화살 맞는것도 귀엽고 ㅋㅋㅋㅋㅋㅋ 뮤비 색감도 너무 이뻐요ㅠㅠ 진심 볼빨간사춘기 노래는 한번도 날 실망 시킨적이 없음..ㅠㅠㅠㅠㅠ 앞으로 계속 기대할만한 인재 ㅎㅎ,452개,"['오다', '이번', '노래', '좋다', '뭔가', '이', '노래', '들다', '설레다', '화살', '맞다', '귀엽다', '뮤비', '색감', '이쁘다', '진심', '볼', '빨갛다', '사춘기', '노래', '한번', '날', '실망', '시키다', '적', '없다', '앞', '계속', '기대하다', '인재']"
69,밖없별,유튜브 알고리즘... 너 봄도 타니................? 어떻게이걸......,1개,"['유튜브', '알고리즘', '너', '봄', '타다', '게이', '걸']"
70,혜우용,6학년 개학식때 쌤이 틀어준 노래 ㄷㄷ 향수돋는다,7개,"['학년', '개학', '때', '쌤', '틀어주다', '노래', '향수', '돋다']"
71,김형섭,오늘부로 나만 봄이 나온지 딱 1년이네요 축하드려요 누님들 ㅠㅠ 이런 좋은 날에 지영누님과 지윤누님이 갈라지게 되어 너무 슬프고 속상하네요 ㅠ  지윤누님이 없는 볼사는 볼사가 아닌데..지윤누님 앞으로 꼭 꿈 이루시길 항상 응원하겠습니다  다시 완전체 볼사가 되기를 기다리겠습니다 항상 응원하고 사랑합니다 볼빨간사춘기 안지영 우지윤 화이팅!❤,12개,"['오늘', '부로', '나', '봄', '나오다', '축하', '드리다', '누님', '이렇다', '좋다', '날', '누님', '지윤', '누님', '갈라지다', '되어다', '슬프다', '속상하다', '지윤', '누님', '없다', '볼', '살다', '볼', '사가', '아니다', '지윤', '누님', '앞', '꼭', '꿈', '이루다', '항상', '응원', '하다', '다시', '완전체', '볼', '사가', '되다', '기르다', '기다리다', '항상', '응원', '사랑', '하다', '볼', '빨갛다', '사춘기', '안지영', '지윤', '화이팅']"
72,claimgrounds,"ㅋㅋㅋㅋㅋㅋㅋ우지윤 화살 맞은채 기타 침ㅋㅋㅋㅋㅋ
제일 맘에 드는 장면ㅋㅋㅋㅋㅋ",219개,"['지윤', '화살', '맞다', '채', '기타', '침', '제일', '맘', '들다', '장면']"
73,황수혜,완전 대박 좋아요,1개,"['완전', '대박', '좋다']"
74,단지아이폰이사고싶는사람임,2:28         너무 귀여워 ㅜㅜ 계속 돌려보는중 ㅠㅠ,1개,"['귀엽다', '계속', '돌리다', '보다', '중']"
75,SeonghwanSeanKANG,뼈치킨 듣다 온사람.. 나만이 아닐지도?,11개,"['뼈', '치킨', '듣다', '사람', '나', '아니다']"
76,GIGA,"볼빨간사춘기 장점:

계속 듣게된다

단점:

계속 듣게된다",13개,"['볼', '빨갛다', '사춘기', '장점', '계속', '듣다', '되다', '단점', '계속', '듣다', '되다']"
77,김수완,'딱 붙어서 ' 이부분 너무 좋다,5개,"['붙다', '부분', '좋다']"
78,요밍,와 며칠 있으면 이 노래도... 1주년... 이라니... 말도 안 된다...ㅠㅠㅠ,26개,"['오다', '며칠', '있다', '이', '노래', '주년', '말', '안', '되다']"
79,깡총깡총주토피아세상,"나만,봄듣고 기분이 좋아졌어용~
언니 넘 예뻥~ㅠㅠ
저 언니 팬이에요",1개,"['나', '봄', '듣다', '기분', '좋아지다', '언니', '넘다', '뻥', '저', '언니', '팬']"
80,놓지않을게,이 노래는 시기도 적당하게 잘 낸듯ㅠㅠ 딱 그 때 생각나고 너무 좋아,8개,"['이', '노래', '시기', '적당하다', '자다', '내다', '그', '때', '생각나다', '좋다']"
81,GameBossStudio,날클립을~ 알고있니~ㅋㅋㅋㅋㅋㅋㅅㅂ,8개,"['날', '클립', '알다']"
82,0,지윤언니 앞길을 응원해요💖,3개,"['지윤', '앞길', '응원', '하다']"
83,한유가연,하..노래 너무 좋아..ㅜ,3개,"['노래', '좋다']"
84,예빈tv,학교끝나면진짜 힘든데이노래만드르면 행복해용,1개,"['학교', '끝나다', '진짜', '힘드다', '노래', '드르', '행복하다']"
85,침침침침,안경금색 쓰고 있는 선생님,1개,"['안경', '금색', '쓰다', '있다', '선생님']"
86,starlocater,뼈치킨을 알고있니,8개,"['뼈', '치킨', '알다']"
87,오히려좋아,큐피트 화살 지속효과 점점 짧아지는 것 보소 ;,1개,"['큐피트', '화살', '효과', '점점', '짧아지다', '것', '보다']"
88,김미꾸,와 노래 죽인다🙊🙊,1개,"['오다', '노래', '죽이다']"
89,손유정,처음 사랑하면 이런 기분 이구나 ...,1개,"['처음', '사랑', '하다', '이렇다', '기분']"
90,VEINAD,날클립을 알고있니~,8개,"['날', '클립', '알다']"
91,남주연,"난 이노래 되게 슬프던데 
뭔가 난 엄청 좋아하는데 상대방은 날 안좋아해서 관계가 안될수밖에 없으니까 벚꽃도 뭐고 다필요없고 너만 필요하다ㅠㅠ 이런 간절한느낌이랄까 한마디로 짝사랑이니까 그관점이라 그런지 너무 슬펐다ㅠ",745개,"['난', '이노', '슬프다', '뭔가', '난', '좋아하다', '상대방', '날', '좋아하다', '관계', '안되다', '없다', '벚꽃', '뭐', '필요없다', '너', '필요하다', '이렇다', '간절하다', '느낌', '랄', '끄다', '한마디', '짝사랑', '관점', '그렇다', '슬프다']"
92,엄미숙,안지영 님  노래가 좋네용,1개,"['안지영', '노래', '좋다', '용']"
93,키어런티어니,뮤비 너무 귀엽다 진짜,3개,"['뮤비', '귀엽다', '진짜']"
94,솜이솜사탕,바보선샤인완벽한하루를,1개,"['바보', '선샤인', '완벽하다', '하루']"
95,김치찌개,"이 노래 나왔을때 행복했는데,, 새학기 시작하고 벚꽃 펴셔 새친구들이랑 눈누나나 같이 하교할때 그 따스한 햇빛 아래서 단체사진 찍고 그랬었는데... 이노래들으면 그 배경만 생각나네 작년으로 돌아가고싶다",6개,"['이', '노래', '나오다', '때', '행복하다', '학기', '시작', '벚꽃', '펴다', '친구', '눈', '하교', '하다', '때', '그', '따스하다', '햇빛', '아래', '단체사진', '찍다', '그렇다', '노래', '들다', '그', '배경', '생각나다', '작년', '돌아가다']"
96,식위직공무원,원래 봄에는 벚꽃엔딩이었다. 이제는 나만 봄이다.,1개,"['원래', '봄', '벚꽃', '엔딩', '이다', '이제', '나', '봄']"
97,김효주,로불럭스에서 나 커플이였던거 기억이난다,1개,"['로불', '럭스', '나', '커플', '이다', '기억']"
98,슈,진짜 봄이랑 어울리는군!!!,1개,"['진짜', '봄', '어울리다']"
99,라이엇,지금에 코로나를 예상한 시대를 앞서간곡 ㄷㄷ,1개,"['지금', '코로나', '예상', '시대', '앞서', '간곡']"
100,꾸루율,"가사가 생각 안나서 ""바보 선샤인"" 검색하니까 바로나오네ㅋㅋㅋㅋㅋㅋㅋ",8개,"['가사', '생각', '안나', '바보', '선샤인', '검색', '바로', '나오다']"
101,이은서,날개로 날아다녀요,1개,"['날개', '날아다니다']"
102,서점임,코로나 저격 노래 인가요?(ㅋㅋㅋ),3개,"['코로나', '저격', '노래']"
103,ddowaeLee,ㅋㅋ 가을이지만 생각나는건 뭐지~,1개,"['가을', '생각나다', '뭐']"
104,LoveMySelf,다른 뮤비와는 다르게 사람들이 이해하기힘든 뮤비 스토리보다 이렇게 누구나 이해되고 시각적으로도 감정이입 할 수 있는 뮤비로 만드니까 마음에 들어요 ㅎㅎ,71개,"['다른', '뮤비', '다르다', '사람', '이해', '하다', '힘드다', '뮤비', '스토리', '누구', '이해', '되다', '시각', '감정이입', '하다', '수', '있다', '뮤비', '만들다', '마음', '들다']"
105,구독하면어머니만수무강,우지윤님 수고하셨어요!,3개,"['지윤', '수고', '하다']"
106,김예빈,더 불어와!,1개,"['더', '불어오다']"
107,한별냥,이 노래 언제나 들어도 좋아,5개,"['이', '노래', '들다', '좋다']"
108,오순정,내가 짝남이 생기면 안지영처럼 저렇게 화살 쏘면..엌,3개,"['내', '짝남', '생기', '안지영', '화살', '쏘다', '엌']"
109,국강현,와,2개,['오다']
110,소이,난 진짜 뮤비도 그렇고 볼빨간사춘기만의 특유의 이 감성이 너무 좋았는데..,1개,"['난', '진짜', '뮤비', '그렇다', '볼', '빨갛다', '사춘기', '특유', '이', '감성', '좋다']"
111,포윤은예쁜뎅,노래 좋아요 너무 귀여워요,2개,"['노래', '좋다', '귀엽다']"
112,임주은,언니들 너무 고마웠고 사랑했어요 . 지윤지영언니 영원히 기억할게요,1개,"['언니', '고맙다', '사랑', '하다', '윤지영', '영원하다', '기억', '하다']"
113,김예빈,그냥 봄기운 좋아,1개,"['그냥', '봄', '기운', '좋다']"
114,열심,시발 내 봄 내놔,3개,"['시발', '내', '봄', '내놓다']"
115,LiliahKim,나만 한국댓글 잘보이냐..? 심지어 유튜브 언어 영어로 해놨는데 다들 찾길래..,3개,"['나', '한국', '댓글', '보이다', '심지어', '유튜브', '언어', '영어', '하다', '들다', '찾다']"
116,오은정,건강하세요!,3개,['건강하다']
117,노주연,"뭔가 이 노래 들으면 이상하게 여행가는 것 마냥 몽글몽글해짐 
뭔가 한겨울에 들어도 창 밖 날씨가 따뜻할거같고 여행가는 기분이 든다고 해야되나",840개,"['뭔가', '이', '노래', '들다', '이상하다', '여행가', '것', '마냥', '몽글몽글하다', '짐', '뭔가', '한겨울', '들다', '창', '밖', '날씨', '따뜻하다', '같다', '여행가', '기분', '들다', '하다', '나']"
118,DongHyunKim,저기요다른사람다사라져라할때가너무짜증나는거같아요,1개,"['기요', '람다', '사라지다', '하다', '때', '짜증나다', '같다']"
119,신연재,한번들으면 중독되요 ㅋ,4개,"['한번', '들다', '중독', '되다']"
120,꼬맹이수아,한국인 찾다가 빡쳐서 내가 셨어요,489개,"['한국인', '찾다', '빡치다', '내', '셨어']"
121,코로나를예방하자,요즘에 딱맞는 노래인듯..,1개,"['요즘', '맞다', '노랗다']"
122,침침침침,선생님피없써,1개,"['선생님', '피', '없다', '써다']"
123,Imdone,꼬춘 넣어둬 검색했는데,1개,"['꼬춘', '넣다', '두다', '검색', '하다']"
124,윤동국,와 근데 목소리랑 음이 딱 맞는게 ㄹㅇ 소름,2개,"['오다', '목소리', '음', '맞다', '소름']"
125,김태연,이노래 들으면 2학년때 생각난다~좋았는데...,2개,"['이노', '들다', '학년', '때', '생각나다', '좋다']"
126,최은규,구독해주세요,1개,"['구독', '해주다']"
127,MylesWoo,곡 끝날때 즈음에 나에겐 너 하나뿐인걸~ 하면 될듯,1개,"['곡', '끝나다', '때', '즈음', '나', '너', '하나', '하다', '되다']"
128,커피좋아하는멍멍이,논산에서 들을 때 노래는 너무 설레고 좋아서 미치겠는데 내 상황 보니까 더 미치겠었는데,1개,"['논산', '들다', '때', '노래', '설레다', '좋다', '미치다', '내', '상황', '보', '더', '미치다']"
129,이진수,봄때들으면더좋을뜻,2개,"['봄때', '들다', '더', '좋다', '뜻']"
130,사랑해,남친이랑 헤어지고 이 노래에 완전 빠졌는데...ㅋㅋ,4개,"['남친', '헤어지다', '이', '노래', '완전', '빠지다']"
131,뚜라뚜라,이 노래 최고다!!!!!,1개,"['이', '노래', '최고다']"
132,볼빵강사춘기찐팬,이 노래 들을면 힐링 돼는거 같아,2개,"['이', '노래', '들다', '힐링', '돼다', '같다']"
133,가을아이,뭐야 눈물나게 슬프잖아ㅠㅠ,1개,"['뭐', '눈물나다', '슬프다']"
